MaxPitDepth,Time,pH,PipeSoilPotential,SoilResistivity,WaterContentpc,BulkDensity,DissolvedChloride,Bicarbonate,SulfateConcentration,RadoxPotential,CoatingType,Class
1.01,22,5.28,?0.77,17.6,23.9,1.25,19.06,8.32,158,339,CTC,C
1.93,15,4.69,?0.82,51.5,19.9,1.27,28.81,5.55,200.2,120,AEC,C
2.08,20,5.12,?1.03,11.6,29.1,1.28,26.81,5.55,159.5,101,AEC,C
1.58,13,5.02,?0.91,49,25.3,1.24,19.27,5.55,217.3,80,NC,C
2.5,20,6.01,?0.69,22.6,25.3,1.22,82.99,5.55,109.3,225,WTC,C
3.18,24,6.12,?0.63,11.6,29.1,1.26,96.81,5.55,115.5,11,WTC,C
1.31,21,6.21,?0.71,45.8,12.8,1.26,32.13,11.1,84.17,113,WTC,C
3.88,27,5.3,?0.62,36.5,25.3,1.23,109.8,10.65,374.3,17.3,CTC,C
2.65,13,5.08,?0.54,35.2,23,1.22,102.4,16.48,260.4,45,WTC,C
4.24,28,5.16,?0.79,60,23.9,1.36,109.8,11.87,95.57,108,CTC,C
1.17,21,6.27,?0.99,55.2,16.4,1.28,8.82,12.93,93.58,106,WTC,C
0.81,13,7.11,?0.60,25,19.4,1.27,48.12,9.24,232.2,90,WTC,C
0.94,18,6.09,?0.86,20.6,19.9,1.28,18.27,22.19,126.6,242,WTC,C
0.71,6,5.03,?0.52,43,23.1,1.28,18.41,5.55,152.3,102,FBE,C
8.56,42,6.12,?0.47,7.8,36,1.2,105.5,28.68,455.9,110,CTC,C
8.31,42,6.13,?0.47,6.8,32.4,1.21,104,15.01,379.1,117,CTC,C
8.41,42,6.5,?0.47,10.4,31.3,1.2,128.5,28.99,288.2,98,CTC,C
0.81,42,7.09,?0.48,107.1,16.8,1.34,30.96,29.65,101.2,138,CTC,C
8.26,42,6.2,?0.49,10.3,38.9,1.22,56.14,33.47,146.8,98,CTC,C
1.6,42,7.21,?0.49,8.1,30.3,1.3,22.17,19.55,256.7,92,CTC,C
1.57,42,7.79,?0.47,7.3,39.3,1.3,18.41,29.55,399.9,99,CTC,C
6.45,8,5.03,?0.42,6.3,23.7,1.22,49.17,8.32,16.28,130,NC,C
7.04,8,5.08,?0.45,3.8,27.3,1.22,47.57,8.32,14.9,95,NC,C
0.79,23,6.44,?1.13,30,19.4,1.18,117,78.1,14.53,44,CTC,C
1.17,23,8.18,?0.97,43.5,22.8,1.18,117,39.05,148.5,120,WTC,C
0.79,23,8.14,?0.97,42.6,23.3,1.19,292.5,91.12,24.1,146,WTC,C
0.41,23,8.09,?0.97,27.2,27,1.15,146.2,52.07,88.68,153,WTC,C
2.74,27,6.76,?0.87,10.5,21.6,1.24,175.5,65.09,38.45,108,WTC,C
0.79,23,6.55,?1.03,30.9,21.4,1.17,351,91.12,2.57,49,CTC,C
0.79,23,6.59,?1.03,30,21,1.22,146.2,117.2,69.54,51,CTC,C
1.57,50,9.88,?0.76,41,25.7,1.21,234,52.07,351.9,69,CTC,C
1.98,50,6.79,?0.75,41,26.9,1.17,21.06,65.09,9.75,65,CTC,C
1.98,40,7.01,?0.86,98.6,20.1,1.14,87.75,65.09,9.75,201,CTC,C
0.79,23,8.01,?0.96,44.9,24.2,1.25,263.2,78.1,48.02,163,WTC,C
1.57,16,5.99,?0.80,35.7,27.1,1.28,263.2,156.2,698.6,111,WTC,C
1.96,23,7.95,?0.98,44.3,29.3,1.16,11.7,65.09,146.1,125,WTC,C
4.83,27,4.14,?1.07,207,22.8,1.22,87.75,5.21,55.19,216,CTC,C
1.27,27,5.07,?1.15,72.6,25,1.12,87.75,6.51,69.54,285,CTC,C
5,35,5.13,?0.58,11,29.4,1.12,17.75,5.21,69.54,101,CTC,C
8.41,35,5.73,?0.58,8.4,23.1,1.11,234,5.21,43.23,178,CTC,C
7.59,35,6.33,?0.57,11.4,24.9,1.17,58.5,6.51,43.23,189,CTC,C
7.59,37,5.49,?0.82,22.3,31.8,1.23,117,7.81,21.71,144,CTC,C
5,37,5.41,?0.95,28.2,23.1,1.19,117,5.21,<1.00,146,CTC,C
5,37,5.33,?0.93,10.3,57.6,1.14,146.2,5.21,9.75,175,CTC,C
1.78,37,5.32,?0.87,8.9,19.7,1.18,11.7,3.91,45.63,232,CTC,C
1.14,33,5.04,?0.70,143.8,19.3,1.18,17.75,3.91,191.5,2.1,CTC,C
2.54,33,6.36,?0.70,12.2,32.1,1.19,75.5,10.41,2.57,242,CTC,C
2.36,33,5.8,?0.74,399.5,14.1,1.17,75.5,5.21,88.68,216,CTC,C
5,35,5.19,?0.58,11.2,29.7,1.28,27.75,5.21,53.66,107,CTC,C
4.83,27,4.64,?1.07,218.7,26.8,1.22,89.75,5.21,55.19,206,CTC,C
1.52,33,6.32,?0.76,276.7,8.8,1.23,46.25,5.21,189.1,256,CTC,C
0.99,21,6.16,?0.96,28.4,19.5,1.35,10.75,13.87,41.41,298,WTC,SCL
0.81,21,6.75,?0.91,34.1,15.2,1.45,8.27,8.32,16.85,262,CTC,SCL
0.79,19,6.98,?1.90,21.5,22.3,1.38,10.75,13.87,35.32,256,WTC,SCL
0.79,19,6.81,?1.97,33.7,21.9,1.4,11.58,13.87,37.37,256,WTC,SCL
1.65,26,6.47,?1.13,32.7,24.2,1.44,12.13,12.93,129.5,275,CTC,SCL
1.17,21,5.94,?1.23,24,19.1,1.4,10.75,11.1,177.4,270,WTC,SCL
2.11,26,7.01,?1.10,34.1,24.7,1.43,17.72,12.93,115,72,CTC,SCL
1.25,26,6.8,?1.11,32.7,21.6,1.42,7.72,8.32,89.3,126,CTC,SCL
0.46,10,5.41,?0.90,25,19.4,1.46,28.12,9.24,332.2,90,WTC,SCL
0.79,21,5.68,?0.93,156.5,21.4,1.4,11.58,11.1,35.4,106,WTC,SCL
2.65,11,4.48,?0.84,35.2,27,1.44,32.43,16.48,160.4,45,NC,SCL
0.79,21,6.14,?0.92,25.8,16.1,1.43,18.2,16.65,126.9,312,CTC,SCL
0.76,21,6.68,?0.93,46.5,17.7,1.39,28.95,14.76,93.58,220,WTC,SCL
0.43,9,5.8,?0.68,243.6,11.4,1.47,32.53,16.65,243.4,192,NC,SCL
0.41,9,6.05,?0.84,16.1,23.6,1.48,33.58,16.65,263.8,211,AEC,SCL
1.68,10,5.23,?0.91,34.4,12.8,1.45,33.09,11.1,315.2,127,NC,SCL
0.79,21,7.62,?0.93,32,16.2,1.37,8.27,16.65,68.6,226,CTC,SCL
2.11,26,6.8,?0.79,30.9,23.1,1.36,14.89,11.1,90.16,162,CTC,SCL
0.41,9,6.04,?0.83,13.1,26.4,1.49,24.81,27.74,127.2,236,NC,SCL
0.41,21,6.89,?1.16,20.6,14.9,1.43,8.27,22.19,126.6,242,WTC,SCL
0.51,21,6.4,?0.88,30.9,18.8,1.43,8.27,14.76,80.1,202,WTC,SCL
0.99,11,6.5,?0.90,55.9,28.3,1.4,18.2,8.32,216.2,255,NC,SCL
0.79,26,7.8,?0.79,30.9,23.1,1.42,8.27,11.1,39.09,162,CTC,SCL
1.24,10,4.75,?0.91,113.1,15.6,1.34,10.75,8.32,77.33,240,NC,SCL
0.41,12,7.45,?0.86,149.1,14.3,1.41,54.58,8.32,36.28,50,FBE,SCL
0.91,20,5.5,?1.02,161.2,21.2,1.35,17.61,11.1,14.9,168,WTC,SCL
0.43,12,6.83,?1.04,100.8,16.9,1.42,9.68,5.55,129.5,87,FBE,SCL
0.66,19,7.55,?0.71,14,29.9,1.38,15.85,13.87,67.74,200,WTC,SCL
0.79,12,6.98,?1.05,41,16,1.37,16.73,5.55,169.6,23,FBE,SCL
1.68,19,5.3,?1.06,107.7,20,1.37,4.4,11.1,68.17,301,WTC,SCL
